Data,Hora (UTC),Temp. Ins. (C),Temp. Max. (C),Temp. Min. (C),Umi. Ins. (%),Umi. Max. (%),Umi. Min. (%),Pto Orvalho Ins. (C),Pto Orvalho Max. (C),Pto Orvalho Min. (C),Pressao Ins. (hPa),Pressao Max. (hPa),Pressao Min. (hPa),Vel. Vento (m/s),Dir. Vento (m/s),Chuva (mm)
19/10/2022,1900,"30,4","32,2","30,4",44,44,39,"16,6","17,4",16,"998,3","998,8","998,3","1,8",62,0
19/10/2022,2000,"28,7","30,5","28,7",54,54,43,"18,6","18,6","16,5","998,7","998,7","998,3","3,5",94,0
19/10/2022,2100,"27,8","28,7","27,8",57,57,54,"18,5","18,8","18,5","999,3","999,3","998,7",2,108,0
19/10/2022,2200,"26,5","27,8","26,5",63,63,57,"18,9","18,9","18,5","1000,3","1000,3","999,3","1,7",117,0
19/10/2022,2300,"25,9","26,6","25,9",64,64,62,"18,6","18,8","18,5","1001,1","1001,1","1000,3",2,69,0
20/10/2022,0,"25,5","25,9","25,5",66,66,64,"18,6","18,7","18,5","1002,1","1002,1","1001,1","0,8",117,0
20/10/2022,100,"22,2","25,5","22,2",84,84,65,"19,4","19,4","18,5","1002,9","1002,9","1002,1","0,8",259,3
20/10/2022,200,"21,6","22,2","21,6",93,93,84,"20,4","20,6","19,5","1002,8","1003,1","1002,8","0,7",41,"8,4"
20/10/2022,300,"21,2","21,6",21,94,94,93,"20,2","20,5","19,9","1001,6","1002,8","1001,6","0,4",133,11
20/10/2022,400,"21,3","21,3","21,1",94,94,94,"20,2","20,3",20,"1000,8","1001,6","1000,8","0,5",315,0
20/10/2022,500,"20,9","21,3","20,9",94,94,94,"19,9","20,2","19,9","1000,1","1000,8",1000,"0,7",298,0
20/10/2022,600,"20,4",21,"20,4",94,94,94,"19,4",20,"19,4","999,3","1000,1","999,3",1,312,0
20/10/2022,700,"20,2","20,7","20,2",95,95,94,"19,3","19,8","19,3","999,3","999,3","999,1","0,6",285,"0,2"
20/10/2022,800,"20,3","20,4","20,1",95,95,95,"19,5","19,6","19,2","999,6","999,6","999,2","0,7",211,0
20/10/2022,900,"21,4","21,5","20,2",95,95,95,"20,5","20,7","19,3","1000,3","1000,4","999,6","0,5",98,0
20/10/2022,1000,"23,6","23,7","21,3",86,95,86,"21,1","21,7","20,4","1000,9","1000,9","1000,4","0,8",29,0
20/10/2022,1100,"26,2","26,2","23,4",73,87,70,21,"21,6","20,1","1001,2","1001,2","1000,9","1,1",87,0
20/10/2022,1200,"27,5","28,2","25,8",59,73,56,"18,8","20,7","17,7","1001,1","1001,2","1001,1",1,14,0
20/10/2022,1300,"28,7","29,4","27,3",56,60,50,"19,1","19,9","17,5","1000,6","1001,1","1000,6","2,6",38,0
20/10/2022,1400,"29,5","30,3","28,4",48,58,46,"17,5","19,6","16,9","999,5","1000,6","999,5","2,6",10,0
20/10/2022,1500,"30,6","31,6","29,2",44,49,41,17,"18,5","15,9","998,1","999,5","998,1","2,2",52,0
20/10/2022,1600,"31,9","32,6","30,2",41,46,39,"16,8","18,7","16,1","996,8","998,1","996,8","1,9",10,0
20/10/2022,1700,"31,8","32,3","30,9",42,44,39,"17,1","18,1",16,"995,8","996,8","995,8",2,75,0
20/10/2022,1800,"31,2","32,4",31,41,45,38,"16,6","18,1","16,1","995,2","995,8","995,2","1,8",34,0
20/10/2022,1900,"31,3","32,5","31,2",40,44,37,16,"17,7","15,6","995,1","995,2",995,"3,9",3,0
20/10/2022,2000,"29,9","31,3","29,9",45,46,40,"16,9","16,9","15,7","995,1","995,3","995,1","3,2",1,0
20/10/2022,2100,"28,8",30,"28,7",49,50,44,"17,1","17,4","16,6","995,8","995,8","995,1","1,8",338,0
20/10/2022,2200,"25,4",29,"25,4",66,66,48,"18,5","18,6",17,"996,8","996,8","995,8","0,9",244,0
20/10/2022,2300,"24,6","26,8","24,4",69,70,59,"18,6",19,"17,8","997,7","997,7","996,8","0,7",216,0
